404: Not Found
🩶酒店频道&爬虫,#genre#
央视台球,http://111.167.65.196:4022/rtp/225.1.2.170:5002?$天津联通
电视指南,http://111.165.213.195:8000/rtp/225.1.2.167:5002?$天津联通
兵器科技,http://111.165.213.195:8000/rtp/225.1.2.166:5002?$天津联通
世界地理,http://111.165.213.195:8000/rtp/225.1.2.171:5002?$天津联通
女性时尚,http://111.165.213.195:8000/rtp/225.1.2.172:5002?$天津联通
第一剧场,http://111.165.213.195:8000/rtp/225.1.2.175:5002?$天津联通
怀旧剧场,http://111.165.213.195:8000/rtp/225.1.2.173:5002?$天津联通
风云剧场,http://111.165.213.195:8000/rtp/225.1.2.174:5002?$天津联通
风云音乐,http://111.165.213.195:8000/rtp/225.1.2.176:5002?$天津联通
风云足球,http://111.165.213.195:8000/rtp/225.1.2.168:5002?$天津联通
央视高网,http://111.165.213.195:8000/rtp/225.1.2.169:5002?$天津联通
央视台球,http://111.165.213.195:8000/rtp/225.1.2.170:5002?$天津联通
电视指南,http://180.213.163.219:8000/rtp/225.1.2.167:5002?$天津联通
兵器科技,http://180.213.163.219:8000/rtp/225.1.2.166:5002?$天津联通
世界地理,http://180.213.163.219:8000/rtp/225.1.2.171:5002?$天津联通
女性时尚,http://180.213.163.219:8000/rtp/225.1.2.172:5002?$天津联通
第一剧场,http://180.213.163.219:8000/rtp/225.1.2.175:5002?$天津联通
怀旧剧场,http://180.213.163.219:8000/rtp/225.1.2.173:5002?$天津联通
风云剧场,http://180.213.163.219:8000/rtp/225.1.2.174:5002?$天津联通
风云音乐,http://180.213.163.219:8000/rtp/225.1.2.176:5002?$天津联通
风云足球,http://180.213.163.219:8000/rtp/225.1.2.168:5002?$天津联通
央视高网,http://180.213.163.219:8000/rtp/225.1.2.169:5002?$天津联通
央视台球,http://180.213.163.219:8000/rtp/225.1.2.170:5002?$天津联通
